turnover_id,Client_ID,Partner_ID,Currency_ID,Game_ID,Provider_ID,Product_ID,Is_RakeTransaction,Is_Calculated,Is_Rollbacked,Is_Bonus,Bet_Amount,Win_Amount,BonusBet_Amount,BonusWin_Amount,RakeBet_Amount,RakeWin_Amount,BetAmountIn_EUR,WinAmountIn_EUR,BonusBetAmountIn_EUR,BonusWinAmountIn_EUR,RakeBetAmountIn_EUR,RakeWinAmountIn_EUR
359,180,5,Currency A,345,337,441,FALSE,TRUE,FALSE,FALSE,400,150,0,0,0,0,4.5762844,1.71610665,0,0,0,0
360,181,5,Currency A,351,360,441,FALSE,TRUE,FALSE,FALSE,400,0,0,0,0,0,4.5762844,0,0,0,0,0
361,179,7,Currency C,296,337,441,FALSE,TRUE,FALSE,FALSE,3750,7500,0,0,0,0,2.68030875,5.3606175,0,0,0,0
362,179,7,Currency C,296,337,441,FALSE,TRUE,FALSE,FALSE,750,0,0,0,0,0,0.53606175,0,0,0,0,0
363,185,5,Currency A,352,332,441,FALSE,TRUE,FALSE,FALSE,275,242.5,0,0,0,0,3.146195525,2.774372418,0,0,0,0
364,186,5,Currency A,269,337,441,FALSE,TRUE,FALSE,FALSE,50,0,0,0,0,0,0.57203555,0,0,0,0,0
365,186,5,Currency A,335,337,441,FALSE,TRUE,FALSE,FALSE,50,50,0,0,0,0,0.57203555,0.57203555,0,0,0,0
366,181,5,Currency A,353,331,441,FALSE,TRUE,FALSE,FALSE,50,213.5,0,0,0,0,0.57203555,2.4425918,0,0,0,0
367,187,5,Currency A,354,359,441,FALSE,TRUE,FALSE,FALSE,50,43.75,0,0,0,0,0.57203555,0.500531105,0,0,0,0
368,181,5,Currency A,355,360,441,FALSE,TRUE,FALSE,FALSE,50,0,0,0,0,0,0.57203555,0,0,0,0,0
369,112,5,Currency A,356,359,441,FALSE,TRUE,FALSE,TRUE,400,0,350,600,0,0,4.5762844,0,4.00424885,6.8644266,0,0
370,188,5,Currency A,357,332,441,FALSE,TRUE,FALSE,FALSE,375,687.5,0,0,0,0,4.290266625,7.865488813,0,0,0,0
371,189,5,Currency A,358,361,441,FALSE,TRUE,FALSE,FALSE,375,562.5,0,0,0,0,4.290266625,6.435399938,0,0,0,0
372,190,5,Currency A,359,332,441,FALSE,TRUE,FALSE,FALSE,375,500,0,0,0,0,4.290266625,5.7203555,0,0,0,0
373,188,5,Currency A,357,332,441,FALSE,TRUE,FALSE,FALSE,375,250,0,0,0,0,4.290266625,2.86017775,0,0,0,0
374,191,5,Currency A,296,337,441,FALSE,TRUE,FALSE,FALSE,375,250,0,0,0,0,4.290266625,2.86017775,0,0,0,0
